ticker,name,industry,market_cap,market_cap_num,symbol_url
BVN,Compañía de Minas Buenaventura S.A.A.,Other Precious Metals & Mining,5.78B,5780000000,/stocks/bvn/
BVS,Bioventus Inc.,Medical Devices,438.14M,438140000,/stocks/bvs/
BW,"Babcock & Wilcox Enterprises, Inc.",Specialty Industrial Machinery,364.96M,364960000,/stocks/bw/
BWA,BorgWarner Inc.,Auto Parts,9.19B,9190000000,/stocks/bwa/
BWAY,BrainsWay Ltd.,Medical Devices,326.32M,326320000,/stocks/bway/
BWB,"Bridgewater Bancshares, Inc.",Banks - Regional,454.04M,454040000,/stocks/bwb/
BWEN,"Broadwind, Inc.",Industrial - Machinery,53.92M,53920000,/stocks/bwen/
BWFG,"Bankwell Financial Group, Inc.",Banks - Regional,333.46M,333460000,/stocks/bwfg/
BWIN,"The Baldwin Insurance Group, Inc.",Insurance Brokers,2.62B,2620000000,/stocks/bwin/
BWLP,BW LPG Limited,Marine Shipping,2.01B,2009999999,/stocks/bwlp/
BWMN,Bowman Consulting Group Ltd.,Engineering & Construction,746.78M,746780000,/stocks/bwmn/
BWMX,"Betterware de México, S.A.P.I. de C.V.",Specialty Retail,539.29M,539290000,/stocks/bwmx/
BWXT,"BWX Technologies, Inc.",Aerospace & Defense,19.52B,19520000000,/stocks/bwxt/
BX,Blackstone Inc.,Asset Management,180.25B,180250000000,/stocks/bx/
BXC,BlueLinx Holdings Inc.,Industrial Distribution,516.48M,516480000,/stocks/bxc/
BXMT,"Blackstone Mortgage Trust, Inc.",REIT - Mortgage,3.13B,3130000000,/stocks/bxmt/
BXP,"BXP, Inc.",REIT - Office,12.59B,12590000000,/stocks/bxp/
BXSL,Blackstone Secured Lending Fund,Asset Management,6.09B,6090000000,/stocks/bxsl/
BY,"Byline Bancorp, Inc.",Banks - Regional,1.23B,1230000000,/stocks/by/
BYAH,"Park Ha Biological Technology Co., Ltd.",-,12.69M,12690000,/stocks/byah/
BYD,Boyd Gaming Corporation,Resorts & Casinos,6.08B,6080000000,/stocks/byd/
BYFC,Broadway Financial Corporation,Banks - Regional,54.49M,54490000,/stocks/byfc/
BYND,"Beyond Meat, Inc.",Packaged Foods,650.25M,650250000,/stocks/bynd/
BYRN,Byrna Technologies Inc.,Aerospace & Defense,460.19M,460190000,/stocks/byrn/
BYSI,BeyondSpring Inc.,Biotechnology,80.26M,80260000,/stocks/bysi/
BZ,Kanzhun Limited,Internet Content & Information,10.29B,10290000000,/stocks/bz/
